Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
164901 1514787664.0 189.0 2.0 0.0 10.0 189.0 189.0 189.0 189.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.105 0.105 0.105 0.105 0.105 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164902 1514788520.0 11716.0 128.0 1.0 70.0 10697.0 10522.0 10955.0 10825.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 416.56888888888886 380.3377777777778 374.11555555555555 389.5111111111111 384.8888888888889 8.697507681802662 10.191191532946398 6.495390918402185 7.604984636394674 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 8.697507681802659 10.191191532946396 6.495390918402178 7.604984636394662
164903 1514789192.0 12147.0 128.0 1.0 50.0 11393.0 11263.0 11583.0 11487.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 431.8933333333333 405.08444444444444 400.46222222222224 411.84 408.4266666666667 6.207293982053182 7.277517082407178 4.643121758458879 5.433440355643369 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.207293982053178 7.277517082407171 4.64312175845888 5.433440355643364
164904 1514789719.0 7291.0 8.0 1.0 90.0 7291.0 7291.0 7291.0 7291.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 16.202222222222222 16.202222222222222 16.202222222222222 16.202222222222222 16.202222222222222 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164905 1514789896.0 21709.0 128.0 1.0 90.0 19282.0 18864.0 19896.0 19586.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 771.8755555555556 685.5822222222222 670.72 707.4133333333333 696.3911111111111 11.179695057349486 13.105163756967157 8.35137500575798 9.779354184900273 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 11.179695057349496 13.105163756967157 8.35137500575799 9.779354184900283
164906 1514790483.0 3759.0 64.0 0.0 10.0 3759.0 3759.0 3759.0 3759.0 68.0 14.0 14.0 14.0 68.0 14.0 14.0 14.0 66.82666666666667 66.82666666666667 66.82666666666667 66.82666666666667 66.82666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164907 1514790502.0 3775.0 64.0 1.0 90.0 3485.0 3290.0 3563.0 3481.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 67.11111111111111 61.955555555555556 58.48888888888889 63.34222222222222 61.88444444444445 7.682119205298013 12.847682119205299 5.6158940397351 7.788079470198675 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.682119205298018 12.847682119205306 5.6158940397351085 7.788079470198674
164908 1514790505.0 3738.0 64.0 1.0 70.0 3515.0 3364.0 3574.0 3511.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.45333333333333 62.48888888888889 59.80444444444444 63.53777777777778 62.41777777777778 5.965757089352595 10.005350454788656 4.387372926698769 6.072766185125736 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.965757089352597 10.00535045478866 4.387372926698771 6.072766185125734
164909 1514790507.0 3719.0 64.0 1.0 50.0 3560.0 3453.0 3603.0 3558.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.11555555555556 63.28888888888889 61.38666666666666 64.05333333333333 63.25333333333333 4.275342834095187 7.152460338800753 3.119118042484539 4.329120731379403 8.532423208191126 14.285714285714286 6.25 8.814589665653493 4.275342834095189 7.152460338800763 3.1191180424845535 4.3291207313794136
164910 1514790523.0 3755.0 64.0 1.0 50.0 3595.0 3487.0 3638.0 3592.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.75555555555556 63.91111111111111 61.99111111111111 64.67555555555556 63.85777777777778 4.26098535286285 7.137150466045273 3.1158455392809588 4.340878828229028 8.532423208191126 14.285714285714286 6.25 8.814589665653493 4.260985352862855 7.137150466045282 3.115845539280956 4.340878828229036
164911 1514790526.0 3717.0 64.0 1.0 50.0 3558.0 3452.0 3601.0 3556.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.08 63.25333333333333 61.36888888888889 64.01777777777778 63.217777777777776 4.277643260694108 7.12940543449018 3.1207963411353243 4.3314500941619585 8.532423208191126 14.285714285714286 6.25 8.814589665653493 4.27764326069411 7.1294054344901765 3.1207963411353177 4.331450094161958
164912 1514790541.0 3737.0 64.0 1.0 30.0 3641.0 3577.0 3667.0 3640.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.43555555555555 64.72888888888889 63.59111111111111 65.19111111111111 64.71111111111111 2.568905539202569 4.281509232004281 1.8731602890018733 2.5956649719025955 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5689055392025644 4.281509232004277 1.8731602890018666 2.595664971902595
164913 1514790543.0 3775.0 64.0 1.0 90.0 3485.0 3290.0 3563.0 3481.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 67.11111111111111 61.955555555555556 58.48888888888889 63.34222222222222 61.88444444444445 7.682119205298013 12.847682119205299 5.6158940397351 7.788079470198675 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.682119205298018 12.847682119205306 5.6158940397351085 7.788079470198674
164914 1514790545.0 3775.0 64.0 1.0 30.0 3678.0 3613.0 3704.0 3677.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 67.11111111111111 65.38666666666667 64.2311111111111 65.8488888888889 65.36888888888889 2.5695364238410594 4.291390728476821 1.880794701986755 2.596026490066225 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.569536423841059 4.291390728476835 1.8807947019867524 2.5960264900662287
164915 1514790548.0 3736.0 64.0 1.0 50.0 3577.0 3469.0 3619.0 3574.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.41777777777777 63.59111111111111 61.67111111111111 64.33777777777777 63.53777777777778 4.255888650963597 7.146680942184155 3.1316916488222697 4.336188436830835 8.532423208191126 14.285714285714286 6.25 8.814589665653493 4.2558886509635885 7.146680942184149 3.1316916488222675 4.336188436830828
164916 1514790551.0 3754.0 64.0 1.0 70.0 3530.0 3379.0 3590.0 3526.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.73777777777778 62.75555555555555 60.07111111111111 63.82222222222222 62.684444444444445 5.966968566862014 9.989344698987747 4.3686734150239745 6.073521576984549 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.96696856686202 9.989344698987754 4.368673415023975 6.073521576984552
164917 1514790561.0 3727.0 64.0 1.0 30.0 3632.0 3567.0 3657.0 3630.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.25777777777778 64.56888888888889 63.413333333333334 65.01333333333334 64.53333333333333 2.548966997585189 4.292997048564529 1.8781862087469814 2.602629460692246 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5489669975851803 4.292997048564525 1.878186208746975 2.602629460692245
164918 1514790568.0 3727.0 64.0 1.0 30.0 3632.0 3567.0 3657.0 3630.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.25777777777778 64.56888888888889 63.413333333333334 65.01333333333334 64.53333333333333 2.548966997585189 4.292997048564529 1.8781862087469814 2.602629460692246 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5489669975851803 4.292997048564525 1.878186208746975 2.602629460692245
164919 1514790570.0 3730.0 64.0 1.0 90.0 3444.0 3250.0 3520.0 3439.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.31111111111112 61.22666666666667 57.77777777777778 62.577777777777776 61.13777777777778 7.6675603217158175 12.868632707774799 5.630026809651475 7.801608579088472 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.6675603217158255 12.868632707774806 5.630026809651486 7.80160857908848
164920 1514790581.0 3732.0 64.0 1.0 70.0 3509.0 3359.0 3569.0 3506.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.34666666666666 62.382222222222225 59.715555555555554 63.44888888888889 62.32888888888889 5.97534833869239 9.994640943193998 4.367631296891747 6.055734190782422 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.975348338692382 9.994640943193998 4.367631296891744 6.055734190782417
164921 1514790659.0 3731.0 64.0 1.0 90.0 3444.0 3251.0 3521.0 3440.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.32888888888888 61.22666666666667 57.79555555555555 62.595555555555556 61.15555555555556 7.6923076923076925 12.865183596890914 5.628517823639775 7.799517555615116 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.692307692307685 12.865183596890912 5.628517823639766 7.799517555615104
164922 1514790662.0 3694.0 64.0 1.0 30.0 3599.0 3536.0 3625.0 3598.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.67111111111112 63.98222222222222 62.86222222222222 64.44444444444444 63.964444444444446 2.5717379534380074 4.2772062804547915 1.8678938819707633 2.5988088792636708 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.57173795343802 4.2772062804548 1.867893881970774 2.5988088792636765
